Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
59.7868,373.3465,295.227,0.643595236,0.439344,0,466.586,203.521,726,157
86.4728,387.795,292.0555,0.757428401,0.737772,0,664.616,217.877,922,226
136.4813,421.3705,267.52,1.022309436,0.79038,0,992.613,264.265,1262,316
117.5015,494.3373,269.3933,0.799021287,0.894861,0,1115.803,299.159,1385,374
133.2663,545.4835,254.81,0.860316075,0.843663,0,1388.412,299.666,1123,576
153.518,582.44,222.4458,0.639217035,0.799929,0,1565.373,367.514,1176,638
148.7278,581.8355,218.6993,0.704890014,0.551223,0,1565.86,389.944,1503,566
108.8298,560.908,172.4488,1.19524829,0.611271,0,1652.256,358.102,1641,463
80.2785,623.2295,204.621,1.287190462,0.351711,0,1618.707,346.493,1881,350
84.7878,569.5965,267.491,1.563016989,0.303813,0,1646.93,376.519,2136,266
91.0673,623.006,408.5695,1.928596598,0.438462,0,1599.659,567.189,2419,212
96.7358,618.2225,429.9353,2.701348691,0.547047,0,1500.069,897.886,2589,175
107.3055,526.2463,483.4365,2.151884738,0.151854,0,1533.56,1115.723,2641,192
108.9365,510.2978,542.274,1.996458677,1.325733,0,1500.81,1264.848,2707,234
137.6865,564.788,532.325,1.692173856,1.485927,0,1557.504,1496.118,2614,167
182.839,1128.3603,484.9148,1.514856803,3.713853,2.3,1613.927,1473.401,2499,222
178.7665,1548.077,401.4275,1.543315096,3.376047,4.1,1652.137,1530.891,2209,249
250.666,1150.7183,271.7725,1.519235003,1.349385,1.1,1666.472,1614.269,1818,236
305.4053,719.3173,221.965,1.764414136,0.240969,0,1580.063,1500.191,1483,329
294.817,607.7285,133.8605,2.335769092,0.220581,0,1673.131,1532.407,1401,304
219.3075,946.4198,125.164,2.379551078,1.010838,0,1678.368,1525.479,1082,242
165.36,1014.9725,139.3648,2.633486612,0.867081,0,1688.603,1367.26,1105,226
128.0855,630.8178,90.2923,2.537166239,1.811496,0,1538.78,1501.73,1098,231
88.5758,659.0143,97.5883,2.16501933,2.0148,1.2,1482.41,1372.495,1218,252
34.6118,660.909,75.5865,2.075266257,1.100247,2,1461.87,1244.689,981,285
13.9623,821.6245,73.9803,2.119048244,2.282667,2.4,1404.319,1300.831,1036,346
5.082,998.1553,131.1383,1.972378584,2.840295,1.5,1345.651,1253.744,1073,480
6.3945,1394.5398,169.544,1.970189484,4.105611,2.8,1439.193,1242.915,1263,547
17.9368,1421.8063,212.3983,2.219746817,4.302813,1.7,1391.196,1265.076,1243,663
93.583,1568.6868,185.4615,1.952676691,4.435134,1.9,1218.288,1513.263,1253,874
278.7628,1697.3023,181.8205,2.307310798,4.438491,3.1,1104.68,1752.62,1084,961
431.5815,1787.5663,153.4553,2.449602258,4.383114,4.1,936.95,1752.183,956,882
412.1625,1954.6613,135.6843,2.042429763,4.291914,5.8,541.623,1493.206,861,843
424.4103,1965.4408,126.5453,1.86511271,4.306101,6.6,196.129,1656.95,815,791
489.8643,1948.551,109.278,1.587097082,4.11741,6.6,112.124,1585.151,668,705
483.9068,1865.6078,90.6503,1.541125996,3.699336,6.5,62.664,1561.481,573,748
355.4565,1675.4025,56.9485,1.330972448,2.684295,6,29.041,1478.514,468,775
282.5515,1336.734,54.2155,1.311270556,1.353627,5,21.628,1478.987,414,706
224.4928,1002.846,80.416,1.304703255,0.956355,3.5,49.68,1503.134,310,731
164.6545,833.9088,45.2695,1.19743739,1.034628,2.9,222.744,1243.941,249,613
125.1948,594.9065,18.0128,0.998229334,0.67959,1.8,424.77,1197.107,296,559
133.077,609.3955,28.5285,0.904098061,1.031421,1.7,586.452,1230.648,447,576
151.909,820.8825,37.9525,1.114251609,0.966681,2.5,553.353,1166.547,743,400
147.3968,1408.2008,44.6945,1.055145921,0.35472,5.2,449.665,947.938,1030,186
181.7513,1711.8663,34.3708,1.013553035,1.597221,6.7,482.205,882.92,1255,147
223.0493,1893.956,38.162,1.733766742,3.597177,8.7,492.499,708.365,1347,98
204.3973,1949.7238,15.1138,1.589286183,4.461597,10.5,536.887,574.548,1451,59
188.3288,1872.8525,9.8075,0.967581949,4.469436,11.3,640.834,389.535,1490,46
177.3238,1708.4943,37.8968,0.753050201,4.371864,11.3,846.713,323.587,1679,34
215.1185,1808.8845,36.4563,0.536329362,4.223742,12,898.957,261.603,1807,14
353.6788,1858.6383,32.1293,0.577922247,4.153083,11.5,874.481,147.008,1956,12
663.8398,1706.8315,41.3998,0.698322714,4.209651,8.8,858.106,98.215,1849,20
620.9995,1692.7458,51.39,0.956636448,3.654819,7.1,881.548,109.044,1596,36
505.5033,1775.0023,51.3555,1.070469623,3.548808,6.2,925.188,86.128,1458,39
484.9163,1702.5393,56.2273,0.969771049,0.456093,5.9,944.227,50.653,1431,63
354.7333,1784.8853,135.7058,0.996040243,1.392816,6.8,906.066,23.726,1616,75
280.775,1802.5815,207.8638,1.009174835,2.51529,7.3,959.572,10.006,1592,88
267.5488,1680.8803,247.1538,1.149277203,0.455934,7,1031.843,11.22,1701,104
298.8693,1811.756,302.4245,1.164600896,1.743027,7.6,963.721,14.767,2158,119
387.5358,1873.017,302.5728,1.760035936,4.145769,8,1012.4,23.57,2460,232
436.9705,1857.6478,274.6895,2.600650118,3.406665,8.7,1026.571,15.774,2463,375
